TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2017-21,NTA2020,50101,10,Mott Haven-Port Morris,"2,242",57.2
2017-21,NTA2020,50102,10,Melrose,"2,334",67.4
2017-21,NTA2020,50201,10,Hunts Point,400,40.4
2017-21,NTA2020,50202,10,Longwood,880,36.8
2017-21,NTA2020,50301,10,Morrisania,"1,310",47.1
2017-21,NTA2020,50302,10,Claremont Village-Claremont (East),985,49.3
2017-21,NTA2020,50303,10,Crotona Park East,912,40.1
2017-21,NTA2020,50401,10,Concourse-Concourse Village,"2,055",48.0
2017-21,NTA2020,50402,10,Highbridge,927,43.0
2017-21,NTA2020,50403,10,Mount Eden-Claremont (West),"1,369",36.0
2017-21,NTA2020,50501,10,University Heights (South)-Morris Heights,"1,645",40.9
2017-21,NTA2020,50502,10,Mount Hope,"1,699",43.2
2017-21,NTA2020,50503,10,Fordham Heights,"1,272",35.0
2017-21,NTA2020,50601,10,West Farms,738,69.3
2017-21,NTA2020,50602,10,Tremont,"1,291",51.2
2017-21,NTA2020,50603,10,Belmont,"1,299",53.5
2017-21,NTA2020,50701,10,University Heights (North)-Fordham,"1,017",29.0
2017-21,NTA2020,50702,10,Bedford Park,"1,712",38.7
2017-21,NTA2020,50703,10,Norwood,859,29.3
2017-21,NTA2020,50801,10,Kingsbridge Heights-Van Cortlandt Village,568,21.3
2017-21,NTA2020,50802,10,Kingsbridge-Marble Hill,842,45.0
2017-21,NTA2020,50803,10,Riverdale-Spuyten Duyvil,230,9.8
2017-21,NTA2020,50901,10,Soundview-Bruckner-Bronx River,"1,972",38.0
2017-21,NTA2020,50902,10,Soundview-Clason Point,927,40.5
2017-21,NTA2020,50903,10,Castle Hill-Unionport,582,25.2
2017-21,NTA2020,50904,10,Parkchester,928,38.9
2017-21,NTA2020,51001,10,Westchester Square,330,27.8
2017-21,NTA2020,51002,10,Throgs Neck-Schuylerville,401,12.8
2017-21,NTA2020,51003,10,Pelham Bay-Country Club-City Island,100,7.3
2017-21,NTA2020,51004,10,Co-op City,266,17.5
2017-21,NTA2020,51101,10,Pelham Parkway-Van Nest,461,22.4
2017-21,NTA2020,51102,10,Morris Park,158,12.6
2017-21,NTA2020,51103,10,Pelham Gardens,546,38.7
2017-21,NTA2020,51104,10,Allerton,725,26.4
2017-21,NTA2020,51201,10,Williamsbridge-Olinville,"1,254",30.3
2017-21,NTA2020,51202,10,Eastchester-Edenwald-Baychester,730,21.5
2017-21,NTA2020,51203,10,Wakefield-Woodlawn,507,17.7
2017-21,NTA2020,470101,10,Greenpoint,51,2.6
2017-21,NTA2020,470102,10,Williamsburg,983,21.8
2017-21,NTA2020,470103,10,South Williamsburg,"4,947",60.8
2017-21,NTA2020,470104,10,East Williamsburg,"1,033",34.4
2017-21,NTA2020,470201,10,Brooklyn Heights,34,1.9
2017-21,NTA2020,470202,10,Downtown Brooklyn-DUMBO-Boerum Hill,337,11.4
2017-21,NTA2020,470203,10,Fort Greene,506,22.3
2017-21,NTA2020,470204,10,Clinton Hill,0,0.0
2017-21,NTA2020,470301,10,Bedford-Stuyvesant (West),"2,771",38.8
2017-21,NTA2020,470302,10,Bedford-Stuyvesant (East),"1,410",28.9
2017-21,NTA2020,470401,10,Bushwick (West),903,41.7
2017-21,NTA2020,470402,10,Bushwick (East),997,33.6
2017-21,NTA2020,470501,10,Cypress Hills,846,26.3
2017-21,NTA2020,470502,10,East New York (North),"1,399",33.3
2017-21,NTA2020,470503,10,East New York-New Lots,"1,126",32.5
2017-21,NTA2020,470504,10,Spring Creek-Starrett City,195,33.8
2017-21,NTA2020,470505,10,East New York-City Line,"1,073",31.0
2017-21,NTA2020,470601,10,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,422,8.0
2017-21,NTA2020,470602,10,Park Slope,129,2.4
2017-21,NTA2020,470701,10,Windsor Terrace-South Slope,123,7.5
2017-21,NTA2020,470702,10,Sunset Park (West),466,14.6
2017-21,NTA2020,470703,10,Sunset Park (Central),789,24.8
2017-21,NTA2020,470801,10,Prospect Heights,147,8.3
2017-21,NTA2020,470802,10,Crown Heights (North),"1,252",23.2
2017-21,NTA2020,470901,10,Crown Heights (South),746,23.1
2017-21,NTA2020,470902,10,Prospect Lefferts Gardens-Wingate,425,17.3
2017-21,NTA2020,471001,10,Bay Ridge,678,13.6
2017-21,NTA2020,471002,10,Dyker Heights,507,20.7
2017-21,NTA2020,471101,10,Bensonhurst,"1,263",18.9
2017-21,NTA2020,471102,10,Bath Beach,441,20.9
2017-21,NTA2020,471103,10,Gravesend (West),883,21.4
2017-21,NTA2020,471201,10,Sunset Park (East)-Borough Park (West),679,33.1
2017-21,NTA2020,471202,10,Borough Park,"6,641",49.3
2017-21,NTA2020,471203,10,Kensington,651,21.3
2017-21,NTA2020,471204,10,Mapleton-Midwood (West),896,24.8
2017-21,NTA2020,471301,10,Gravesend (South),253,15.9
2017-21,NTA2020,471302,10,Coney Island-Sea Gate,631,23.1
2017-21,NTA2020,471303,10,Brighton Beach,496,27.0
2017-21,NTA2020,471401,10,Flatbush,746,18.3
2017-21,NTA2020,471402,10,Flatbush (West)-Ditmas Park-Parkville,407,13.0
2017-21,NTA2020,471403,10,Midwood,866,17.1
2017-21,NTA2020,471501,10,Gravesend (East)-Homecrest,892,19.6
2017-21,NTA2020,471502,10,Madison,643,22.0
2017-21,NTA2020,471503,10,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,535,14.8
2017-21,NTA2020,471601,10,Ocean Hill,"1,143",35.8
2017-21,NTA2020,471602,10,Brownsville,"1,069",38.1
2017-21,NTA2020,471701,10,East Flatbush-Erasmus,355,17.2
2017-21,NTA2020,471702,10,East Flatbush-Farragut,246,18.1
2017-21,NTA2020,471703,10,East Flatbush-Rugby,382,18.1
2017-21,NTA2020,471704,10,East Flatbush-Remsen Village,613,27.0
2017-21,NTA2020,471801,10,Flatlands,634,14.1
2017-21,NTA2020,471802,10,Marine Park-Mill Basin-Bergen Beach,140,4.7
2017-21,NTA2020,471803,10,Canarsie,"1,189",20.4
2017-21,NTA2020,610101,10,Financial District-Battery Park City,49,1.8
2017-21,NTA2020,610102,10,Tribeca-Civic Center,10,0.6
2017-21,NTA2020,610201,10,SoHo-Little Italy-Hudson Square,48,7.8
2017-21,NTA2020,610202,10,Greenwich Village,17,1.5
2017-21,NTA2020,610203,10,West Village,20,1.9
2017-21,NTA2020,610301,10,Chinatown-Two Bridges,334,26.7
2017-21,NTA2020,610302,10,Lower East Side,504,33.3
2017-21,NTA2020,610303,10,East Village,645,37.9
2017-21,NTA2020,610401,10,Chelsea-Hudson Yards,145,8.2
2017-21,NTA2020,610402,10,Hell's Kitchen,17,1.5
2017-21,NTA2020,610501,10,Midtown South-Flatiron-Union Square,12,1.2
2017-21,NTA2020,610502,10,Midtown-Times Square,12,2.8
2017-21,NTA2020,610601,10,Stuyvesant Town-Peter Cooper Village,0,0.0
2017-21,NTA2020,610602,10,Gramercy,25,2.4
2017-21,NTA2020,610603,10,Murray Hill-Kips Bay,96,4.7
2017-21,NTA2020,610604,10,East Midtown-Turtle Bay,0,0.0
2017-21,NTA2020,610701,10,Upper West Side-Lincoln Square,366,10.4
2017-21,NTA2020,610702,10,Upper West Side (Central),404,6.3
2017-21,NTA2020,610703,10,Upper West Side-Manhattan Valley,537,28.0
2017-21,NTA2020,610801,10,Upper East Side-Lenox Hill-Roosevelt Island,148,2.6
2017-21,NTA2020,610802,10,Upper East Side-Carnegie Hill,17,0.8
2017-21,NTA2020,610803,10,Upper East Side-Yorkville,68,1.9
2017-21,NTA2020,610901,10,Morningside Heights,323,24.1
2017-21,NTA2020,610902,10,Manhattanville-West Harlem,356,27.3
2017-21,NTA2020,610903,10,Hamilton Heights-Sugar Hill,760,33.5
2017-21,NTA2020,611001,10,Harlem (South),551,19.1
2017-21,NTA2020,611002,10,Harlem (North),"2,096",36.9
2017-21,NTA2020,611101,10,East Harlem (South),"1,100",35.0
2017-21,NTA2020,611102,10,East Harlem (North),"1,514",35.7
2017-21,NTA2020,611201,10,Washington Heights (South),"1,054",32.9
2017-21,NTA2020,611202,10,Washington Heights (North),721,18.8
2017-21,NTA2020,611203,10,Inwood,604,23.6
2017-21,NTA2020,810101,10,Astoria (North)-Ditmars-Steinway,128,5.0
2017-21,NTA2020,810102,10,Old Astoria-Hallets Point,234,29.7
2017-21,NTA2020,810103,10,Astoria (Central),346,17.6
2017-21,NTA2020,810104,10,Astoria (East)-Woodside (North),152,8.5
2017-21,NTA2020,810105,10,Queensbridge-Ravenswood-Dutch Kills,276,18.0
2017-21,NTA2020,810201,10,Long Island City-Hunters Point,0,0.0
2017-21,NTA2020,810202,10,Sunnyside,422,15.5
2017-21,NTA2020,810203,10,Woodside,224,8.1
2017-21,NTA2020,810301,10,Jackson Heights,599,11.7
2017-21,NTA2020,810302,10,East Elmhurst,328,27.6
2017-21,NTA2020,810303,10,North Corona,865,25.7
2017-21,NTA2020,810401,10,Elmhurst,526,9.8
2017-21,NTA2020,810402,10,Corona,"1,333",31.3
2017-21,NTA2020,810501,10,Maspeth,525,19.3
2017-21,NTA2020,810502,10,Ridgewood,624,15.6
2017-21,NTA2020,810503,10,Glendale,55,3.0
2017-21,NTA2020,810504,10,Middle Village,191,11.5
2017-21,NTA2020,810601,10,Rego Park,90,5.5
2017-21,NTA2020,810602,10,Forest Hills,471,7.7
2017-21,NTA2020,810701,10,College Point,390,16.7
