TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2017-21,NTA2020,50101,10,Mott Haven-Port Morris,"11,956",61.4
2017-21,NTA2020,50102,10,Melrose,"8,689",62.6
2017-21,NTA2020,50201,10,Hunts Point,"2,667",59.4
2017-21,NTA2020,50202,10,Longwood,"7,348",57.6
2017-21,NTA2020,50301,10,Morrisania,"7,681",64.2
2017-21,NTA2020,50302,10,Claremont Village-Claremont (East),"4,474",54.1
2017-21,NTA2020,50303,10,Crotona Park East,"5,095",53.6
2017-21,NTA2020,50401,10,Concourse-Concourse Village,"14,101",61.3
2017-21,NTA2020,50402,10,Highbridge,"6,384",56.4
2017-21,NTA2020,50403,10,Mount Eden-Claremont (West),"9,863",58.8
2017-21,NTA2020,50501,10,University Heights (South)-Morris Heights,"10,100",58.0
2017-21,NTA2020,50502,10,Mount Hope,"9,669",60.2
2017-21,NTA2020,50503,10,Fordham Heights,"6,241",59.5
2017-21,NTA2020,50601,10,West Farms,"3,925",62.9
2017-21,NTA2020,50602,10,Tremont,"5,986",58.5
2017-21,NTA2020,50603,10,Belmont,"6,884",61.3
2017-21,NTA2020,50701,10,University Heights (North)-Fordham,"9,240",63.2
2017-21,NTA2020,50702,10,Bedford Park,"11,551",59.7
2017-21,NTA2020,50703,10,Norwood,"8,129",58.2
2017-21,NTA2020,50801,10,Kingsbridge Heights-Van Cortlandt Village,"6,176",56.9
2017-21,NTA2020,50802,10,Kingsbridge-Marble Hill,"4,649",54.7
2017-21,NTA2020,50803,10,Riverdale-Spuyten Duyvil,"3,940",44.6
2017-21,NTA2020,50901,10,Soundview-Bruckner-Bronx River,"11,725",56.6
2017-21,NTA2020,50902,10,Soundview-Clason Point,"4,672",48.9
2017-21,NTA2020,50903,10,Castle Hill-Unionport,"4,578",53.8
2017-21,NTA2020,50904,10,Parkchester,"5,035",49.1
2017-21,NTA2020,51001,10,Westchester Square,"2,585",63.1
2017-21,NTA2020,51002,10,Throgs Neck-Schuylerville,"3,688",44.8
2017-21,NTA2020,51003,10,Pelham Bay-Country Club-City Island,"3,565",56.5
2017-21,NTA2020,51004,10,Co-op City,"4,095",43.3
2017-21,NTA2020,51101,10,Pelham Parkway-Van Nest,"4,706",54.6
2017-21,NTA2020,51102,10,Morris Park,"2,805",55.7
2017-21,NTA2020,51103,10,Pelham Gardens,"1,944",48.3
2017-21,NTA2020,51104,10,Allerton,"6,839",55.8
2017-21,NTA2020,51201,10,Williamsbridge-Olinville,"9,456",64.6
2017-21,NTA2020,51202,10,Eastchester-Edenwald-Baychester,"5,472",51.1
2017-21,NTA2020,51203,10,Wakefield-Woodlawn,"5,077",50.6
2017-21,NTA2020,470101,10,Greenpoint,"5,260",36.7
2017-21,NTA2020,470102,10,Williamsburg,"9,099",40.6
2017-21,NTA2020,470103,10,South Williamsburg,"5,708",63.7
2017-21,NTA2020,470104,10,East Williamsburg,"9,254",46.7
2017-21,NTA2020,470201,10,Brooklyn Heights,"1,923",31.1
2017-21,NTA2020,470202,10,Downtown Brooklyn-DUMBO-Boerum Hill,"5,245",40.8
2017-21,NTA2020,470203,10,Fort Greene,"5,053",43.8
2017-21,NTA2020,470204,10,Clinton Hill,"2,860",38.6
2017-21,NTA2020,470301,10,Bedford-Stuyvesant (West),"12,331",48.1
2017-21,NTA2020,470302,10,Bedford-Stuyvesant (East),"12,401",48.8
2017-21,NTA2020,470401,10,Bushwick (West),"9,557",53.2
2017-21,NTA2020,470402,10,Bushwick (East),"9,564",54.4
2017-21,NTA2020,470501,10,Cypress Hills,"4,872",54.2
2017-21,NTA2020,470502,10,East New York (North),"5,620",58.6
2017-21,NTA2020,470503,10,East New York-New Lots,"7,145",52.1
2017-21,NTA2020,470504,10,Spring Creek-Starrett City,"3,443",47.8
2017-21,NTA2020,470505,10,East New York-City Line,"6,859",55.3
2017-21,NTA2020,470601,10,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"6,538",36.9
2017-21,NTA2020,470602,10,Park Slope,"4,363",31.4
2017-21,NTA2020,470701,10,Windsor Terrace-South Slope,"2,559",40.7
2017-21,NTA2020,470702,10,Sunset Park (West),"6,082",50.1
2017-21,NTA2020,470703,10,Sunset Park (Central),"5,201",53.8
2017-21,NTA2020,470801,10,Prospect Heights,"2,418",36.1
2017-21,NTA2020,470802,10,Crown Heights (North),"14,765",49.1
2017-21,NTA2020,470901,10,Crown Heights (South),"8,383",51.2
2017-21,NTA2020,470902,10,Prospect Lefferts Gardens-Wingate,"7,385",48.6
2017-21,NTA2020,471001,10,Bay Ridge,"9,318",44.4
2017-21,NTA2020,471002,10,Dyker Heights,"3,852",53.4
2017-21,NTA2020,471101,10,Bensonhurst,"12,701",55.7
2017-21,NTA2020,471102,10,Bath Beach,"3,582",54.0
2017-21,NTA2020,471103,10,Gravesend (West),"6,513",56.2
2017-21,NTA2020,471201,10,Sunset Park (East)-Borough Park (West),"4,046",58.1
2017-21,NTA2020,471202,10,Borough Park,"8,845",64.3
2017-21,NTA2020,471203,10,Kensington,"4,948",55.6
2017-21,NTA2020,471204,10,Mapleton-Midwood (West),"3,702",56.3
2017-21,NTA2020,471301,10,Gravesend (South),"3,857",57.0
2017-21,NTA2020,471302,10,Coney Island-Sea Gate,"8,641",58.9
2017-21,NTA2020,471303,10,Brighton Beach,"6,345",63.5
2017-21,NTA2020,471401,10,Flatbush,"10,962",48.8
2017-21,NTA2020,471402,10,Flatbush (West)-Ditmas Park-Parkville,"5,285",49.9
2017-21,NTA2020,471403,10,Midwood,"6,807",55.6
2017-21,NTA2020,471501,10,Gravesend (East)-Homecrest,"6,037",54.4
2017-21,NTA2020,471502,10,Madison,"3,998",49.5
2017-21,NTA2020,471503,10,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"6,300",50.4
2017-21,NTA2020,471601,10,Ocean Hill,"6,539",53.7
2017-21,NTA2020,471602,10,Brownsville,"10,849",62.4
2017-21,NTA2020,471701,10,East Flatbush-Erasmus,"6,808",50.0
2017-21,NTA2020,471702,10,East Flatbush-Farragut,"3,284",50.8
2017-21,NTA2020,471703,10,East Flatbush-Rugby,"4,635",53.9
2017-21,NTA2020,471704,10,East Flatbush-Remsen Village,"6,793",58.8
2017-21,NTA2020,471801,10,Flatlands,"4,585",47.8
2017-21,NTA2020,471802,10,Marine Park-Mill Basin-Bergen Beach,"2,015",47.9
2017-21,NTA2020,471803,10,Canarsie,"6,875",45.6
2017-21,NTA2020,610101,10,Financial District-Battery Park City,"5,742",33.5
2017-21,NTA2020,610102,10,Tribeca-Civic Center,"1,768",31.0
2017-21,NTA2020,610201,10,SoHo-Little Italy-Hudson Square,"3,572",38.2
2017-21,NTA2020,610202,10,Greenwich Village,"3,676",38.9
2017-21,NTA2020,610203,10,West Village,"4,661",35.6
2017-21,NTA2020,610301,10,Chinatown-Two Bridges,"8,228",51.4
2017-21,NTA2020,610302,10,Lower East Side,"8,102",49.9
2017-21,NTA2020,610303,10,East Village,"12,405",43.3
2017-21,NTA2020,610401,10,Chelsea-Hudson Yards,"10,514",40.4
2017-21,NTA2020,610402,10,Hell's Kitchen,"12,422",44.8
2017-21,NTA2020,610501,10,Midtown South-Flatiron-Union Square,"3,795",37.4
2017-21,NTA2020,610502,10,Midtown-Times Square,"3,164",36.7
2017-21,NTA2020,610601,10,Stuyvesant Town-Peter Cooper Village,"3,143",29.7
2017-21,NTA2020,610602,10,Gramercy,"3,619",43.7
2017-21,NTA2020,610603,10,Murray Hill-Kips Bay,"9,357",43.4
2017-21,NTA2020,610604,10,East Midtown-Turtle Bay,"5,086",39.7
2017-21,NTA2020,610701,10,Upper West Side-Lincoln Square,"7,735",35.8
2017-21,NTA2020,610702,10,Upper West Side (Central),"12,100",40.5
2017-21,NTA2020,610703,10,Upper West Side-Manhattan Valley,"6,942",42.9
2017-21,NTA2020,610801,10,Upper East Side-Lenox Hill-Roosevelt Island,"12,285",41.0
2017-21,NTA2020,610802,10,Upper East Side-Carnegie Hill,"3,967",37.5
2017-21,NTA2020,610803,10,Upper East Side-Yorkville,"11,185",37.5
2017-21,NTA2020,610901,10,Morningside Heights,"4,595",46.8
2017-21,NTA2020,610902,10,Manhattanville-West Harlem,"4,271",53.7
2017-21,NTA2020,610903,10,Hamilton Heights-Sugar Hill,"8,118",50.4
2017-21,NTA2020,611001,10,Harlem (South),"6,671",41.0
2017-21,NTA2020,611002,10,Harlem (North),"15,046",48.9
2017-21,NTA2020,611101,10,East Harlem (South),"12,190",51.9
2017-21,NTA2020,611102,10,East Harlem (North),"13,006",51.6
2017-21,NTA2020,611201,10,Washington Heights (South),"14,123",53.5
2017-21,NTA2020,611202,10,Washington Heights (North),"12,230",49.3
2017-21,NTA2020,611203,10,Inwood,"6,409",45.5
2017-21,NTA2020,810101,10,Astoria (North)-Ditmars-Steinway,"5,580",41.6
2017-21,NTA2020,810102,10,Old Astoria-Hallets Point,"2,365",51.5
2017-21,NTA2020,810103,10,Astoria (Central),"6,926",35.8
2017-21,NTA2020,810104,10,Astoria (East)-Woodside (North),"5,622",46.3
2017-21,NTA2020,810105,10,Queensbridge-Ravenswood-Dutch Kills,"4,556",46.2
2017-21,NTA2020,810201,10,Long Island City-Hunters Point,"2,840",32.9
2017-21,NTA2020,810202,10,Sunnyside,"7,856",48.7
2017-21,NTA2020,810203,10,Woodside,"5,683",48.2
2017-21,NTA2020,810301,10,Jackson Heights,"12,095",58.6
2017-21,NTA2020,810302,10,East Elmhurst,"2,137",65.5
2017-21,NTA2020,810303,10,North Corona,"4,019",56.0
2017-21,NTA2020,810401,10,Elmhurst,"13,314",58.4
2017-21,NTA2020,810402,10,Corona,"8,953",54.5
2017-21,NTA2020,810501,10,Maspeth,"3,253",50.0
2017-21,NTA2020,810502,10,Ridgewood,"8,771",45.5
2017-21,NTA2020,810503,10,Glendale,"2,812",42.4
2017-21,NTA2020,810504,10,Middle Village,"2,571",46.7
2017-21,NTA2020,810601,10,Rego Park,"3,606",51.2
2017-21,NTA2020,810602,10,Forest Hills,"8,955",44.0
2017-21,NTA2020,810701,10,College Point,"2,620",58.8
2017-21,NTA2020,810702,10,Whitestone-Beechhurst,"1,579",47.8
2017-21,NTA2020,810703,10,Bay Terrace-Clearview,892,36.7
2017-21,NTA2020,810704,10,Murray Hill-Broadway Flushing,"5,556",56.7
2017-21,NTA2020,810705,10,East Flushing,"3,664",59.0
2017-21,NTA2020,810706,10,Queensboro Hill,"1,803",60.4
2017-21,NTA2020,810707,10,Flushing-Willets Point,"9,833",54.5
2017-21,NTA2020,810801,10,Kew Gardens Hills,"2,923",49.6
2017-21,NTA2020,810802,10,Pomonok-Electchester-Hillcrest,"3,303",47.8
2017-21,NTA2020,810803,10,Fresh Meadows-Utopia,"1,952",48.0
2017-21,NTA2020,810804,10,Jamaica Estates-Holliswood,"1,944",47.9
2017-21,NTA2020,810805,10,Jamaica Hills-Briarwood,"4,001",48.4
2017-21,NTA2020,810901,10,Kew Gardens,"2,429",42.9
2017-21,NTA2020,810902,10,Richmond Hill,"2,835",50.8
2017-21,NTA2020,810903,10,South Richmond Hill,"1,668",60.6
2017-21,NTA2020,810904,10,Ozone Park (North),"1,915",50.7
2017-21,NTA2020,810905,10,Woodhaven,"2,852",51.6
2017-21,NTA2020,811001,10,South Ozone Park,"4,061",56.9
2017-21,NTA2020,811002,10,Ozone Park,"1,471",50.9
2017-21,NTA2020,811003,10,Howard Beach-Lindenwood,"1,354",48.0
2017-21,NTA2020,811101,10,Auburndale,"2,151",53.0
2017-21,NTA2020,811102,10,Bayside,"1,933",44.7
2017-21,NTA2020,811103,10,Douglaston-Little Neck,"1,286",52.7
2017-21,NTA2020,811104,10,Oakland Gardens-Hollis Hills,"1,350",48.5
2017-21,NTA2020,811201,10,Jamaica,"8,045",61.4
2017-21,NTA2020,811202,10,South Jamaica,"3,278",50.8
2017-21,NTA2020,811203,10,Baisley Park,"2,335",50.3
2017-21,NTA2020,811204,10,Springfield Gardens (North)-Rochdale Village,"3,846",51.0
2017-21,NTA2020,811205,10,St. Albans,"2,108",55.4
2017-21,NTA2020,811206,10,Hollis,"1,532",50.4
2017-21,NTA2020,811301,10,Glen Oaks-Floral Park-New Hyde Park,742,33.0
2017-21,NTA2020,811302,10,Bellerose,"1,126",47.8
2017-21,NTA2020,811303,10,Queens Village,"2,388",52.5
2017-21,NTA2020,811304,10,Cambria Heights,488,54.3
2017-21,NTA2020,811305,10,Laurelton,655,37.5
2017-21,NTA2020,811306,10,Springfield Gardens (South)-Brookville,812,37.9
2017-21,NTA2020,811307,10,Rosedale,"1,630",60.6
2017-21,NTA2020,811401,10,Far Rockaway-Bayswater,"7,915",55.5
2017-21,NTA2020,811402,10,Rockaway Beach-Arverne-Edgemere,"5,088",48.5
2017-21,NTA2020,811403,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"1,491",46.2
2017-21,NTA2020,850101,10,St. George-New Brighton,"2,467",52.9
2017-21,NTA2020,850102,10,Tompkinsville-Stapleton-Clifton-Fox Hills,"2,192",55.8
