"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"

Location,Citizenship Type,TimeFrame,DataFormat,Data,Fips
Riverdale,Native Citizen,2010,Number,73598,208
Williamsbridge,Native Citizen,2010,Number,82122,212
Throgs Neck,Native Citizen,2010,Number,86689,210
Pelham Parkway,Native Citizen,2010,Number,76028,211
Morrisania,Native Citizen,2010,Number,55428.30317,203
East Tremont,Native Citizen,2010,Number,57864.69683,206
Bedford Park,Native Citizen,2010,Number,74042,207
University Heights,Native Citizen,2010,Number,82795,205
Concourse/Highbridge,Native Citizen,2010,Number,85203,204
Unionport/Soundview,Native Citizen,2010,Number,123834,209
Mott Haven,Native Citizen,2010,Number,72131.15451,201
Hunts Point,Native Citizen,2010,Number,41187.84549,202
Washington Heights,Native Citizen,2010,Number,102542,112
Manhattanville,Native Citizen,2010,Number,93013,109
Central Harlem,Native Citizen,2010,Number,101657,110
East Harlem,Native Citizen,2010,Number,84875,111
Upper East Side,Native Citizen,2010,Number,172617,108
Upper West Side,Native Citizen,2010,Number,155127,107
Chelsea/Clinton,Native Citizen,2010,Number,65405.33895,104
Midtown Business District,Native Citizen,2010,Number,32734.66105,105
Murray Hill/Stuyvesant,Native Citizen,2010,Number,112406,106
Lower East Side,Native Citizen,2010,Number,103024,103
Battery Park/Tribeca,Native Citizen,2010,Number,45039.49432,101
Greenwich Village,Native Citizen,2010,Number,66487.50568,102
Tottenville,Native Citizen,2010,Number,140926,503
South Beach,Native Citizen,2010,Number,98390,502
St. George,Native Citizen,2010,Number,129550,501
Williamsburg/Greenpoint,Native Citizen,2010,Number,108454,301
Bushwick,Native Citizen,2010,Number,90301,304
Bedford Stuyvesant,Native Citizen,2010,Number,103645,303
Fort Greene/Brooklyn Hts,Native Citizen,2010,Number,100896,302
Park Slope,Native Citizen,2010,Number,100315,306
Crown Heights North,Native Citizen,2010,Number,83367,308
Brownsville,Native Citizen,2010,Number,82230,316
East New York,Native Citizen,2010,Number,98445,305
Canarsie,Native Citizen,2010,Number,118993,318
East Flatbush,Native Citizen,2010,Number,66526,317
Crown Heights South,Native Citizen,2010,Number,59687,309
Sunset Park,Native Citizen,2010,Number,68365,307
Bay Ridge,Native Citizen,2010,Number,85013,310
Borough Park,Native Citizen,2010,Number,108317,312
Flatbush/Midwood,Native Citizen,2010,Number,86896,314
Sheepshead Bay,Native Citizen,2010,Number,71908,315
Bensonhurst,Native Citizen,2010,Number,78582,311
Coney Island,Native Citizen,2010,Number,48348,313
Astoria,Native Citizen,2010,Number,91840,401
Jackson Heights,Native Citizen,2010,Number,61724,403
Flushing,Native Citizen,2010,Number,120897,407
Bayside,Native Citizen,2010,Number,67705,411
Queens Village,Native Citizen,2010,Number,117456,413
Fresh Meadows/Briarwood,Native Citizen,2010,Number,75208,408
Elmhurst/Corona,Native Citizen,2010,Number,49285,404
Rego Park/Forest Hills,Native Citizen,2010,Number,57740,406
Sunnyside/Woodside,Native Citizen,2010,Number,56676,402
Ridgewood/Glendale,Native Citizen,2010,Number,110446,405
Woodhaven,Native Citizen,2010,Number,68587,409
Jamaica/St. Albans,Native Citizen,2010,Number,128204,412
Howard Beach,Native Citizen,2010,Number,69679,410
The Rockaways,Native Citizen,2010,Number,92132,414
Bronx,Native Citizen,2010,Number,910923,36005
Brooklyn,Native Citizen,2010,Number,1560288,36047
Manhattan,Native Citizen,2010,Number,1134928,36061
Queens,Native Citizen,2010,Number,1167579,36081
