TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2017-21,NTA2020,50101,10,Mott Haven-Port Morris,"2,423",11.6
2017-21,NTA2020,50102,10,Melrose,"2,291",13.3
2017-21,NTA2020,50201,10,Hunts Point,"1,026",16.3
2017-21,NTA2020,50202,10,Longwood,"2,705",14.7
2017-21,NTA2020,50301,10,Morrisania,"2,287",14.5
2017-21,NTA2020,50302,10,Claremont Village-Claremont (East),"1,390",14.6
2017-21,NTA2020,50303,10,Crotona Park East,"1,286",9.6
2017-21,NTA2020,50401,10,Concourse-Concourse Village,"3,205",10.0
2017-21,NTA2020,50402,10,Highbridge,"1,836",12.3
2017-21,NTA2020,50403,10,Mount Eden-Claremont (West),"3,769",15.7
2017-21,NTA2020,50501,10,University Heights (South)-Morris Heights,"3,520",13.9
2017-21,NTA2020,50502,10,Mount Hope,"2,804",12.6
2017-21,NTA2020,50503,10,Fordham Heights,"2,347",15.0
2017-21,NTA2020,50601,10,West Farms,"1,541",19.5
2017-21,NTA2020,50602,10,Tremont,"1,724",12.7
2017-21,NTA2020,50603,10,Belmont,"2,399",16.2
2017-21,NTA2020,50701,10,University Heights (North)-Fordham,"3,080",13.5
2017-21,NTA2020,50702,10,Bedford Park,"3,629",12.7
2017-21,NTA2020,50703,10,Norwood,"2,195",10.7
2017-21,NTA2020,50801,10,Kingsbridge Heights-Van Cortlandt Village,"1,869",10.6
2017-21,NTA2020,50802,10,Kingsbridge-Marble Hill,"1,148",9.2
2017-21,NTA2020,50803,10,Riverdale-Spuyten Duyvil,"1,182",5.4
2017-21,NTA2020,50901,10,Soundview-Bruckner-Bronx River,"2,931",10.5
2017-21,NTA2020,50902,10,Soundview-Clason Point,"1,597",9.8
2017-21,NTA2020,50903,10,Castle Hill-Unionport,"1,576",9.2
2017-21,NTA2020,50904,10,Parkchester,"1,651",10.7
2017-21,NTA2020,51001,10,Westchester Square,558,7.8
2017-21,NTA2020,51002,10,Throgs Neck-Schuylerville,"1,696",7.1
2017-21,NTA2020,51003,10,Pelham Bay-Country Club-City Island,"1,199",8.3
2017-21,NTA2020,51004,10,Co-op City,"1,257",7.3
2017-21,NTA2020,51101,10,Pelham Parkway-Van Nest,"1,647",10.2
2017-21,NTA2020,51102,10,Morris Park,996,8.3
2017-21,NTA2020,51103,10,Pelham Gardens,905,6.5
2017-21,NTA2020,51104,10,Allerton,"1,968",11.5
2017-21,NTA2020,51201,10,Williamsbridge-Olinville,"3,265",10.9
2017-21,NTA2020,51202,10,Eastchester-Edenwald-Baychester,"2,855",9.9
2017-21,NTA2020,51203,10,Wakefield-Woodlawn,"2,117",8.4
2017-21,NTA2020,470101,10,Greenpoint,"1,938",7.4
2017-21,NTA2020,470102,10,Williamsburg,"2,507",6.0
2017-21,NTA2020,470103,10,South Williamsburg,974,7.6
2017-21,NTA2020,470104,10,East Williamsburg,"2,193",7.0
2017-21,NTA2020,470201,10,Brooklyn Heights,738,4.8
2017-21,NTA2020,470202,10,Downtown Brooklyn-DUMBO-Boerum Hill,"1,572",6.6
2017-21,NTA2020,470203,10,Fort Greene,"1,791",8.8
2017-21,NTA2020,470204,10,Clinton Hill,"1,268",7.2
2017-21,NTA2020,470301,10,Bedford-Stuyvesant (West),"3,421",7.2
2017-21,NTA2020,470302,10,Bedford-Stuyvesant (East),"4,036",8.3
2017-21,NTA2020,470401,10,Bushwick (West),"2,220",6.3
2017-21,NTA2020,470402,10,Bushwick (East),"2,227",6.5
2017-21,NTA2020,470501,10,Cypress Hills,986,5.0
2017-21,NTA2020,470502,10,East New York (North),"2,158",11.2
2017-21,NTA2020,470503,10,East New York-New Lots,"3,035",13.3
2017-21,NTA2020,470504,10,Spring Creek-Starrett City,497,7.7
2017-21,NTA2020,470505,10,East New York-City Line,"1,296",6.7
2017-21,NTA2020,470601,10,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"2,867",7.8
2017-21,NTA2020,470602,10,Park Slope,"2,084",5.5
2017-21,NTA2020,470701,10,Windsor Terrace-South Slope,923,6.0
2017-21,NTA2020,470702,10,Sunset Park (West),"1,639",5.9
2017-21,NTA2020,470703,10,Sunset Park (Central),"1,750",7.6
2017-21,NTA2020,470801,10,Prospect Heights,756,4.9
2017-21,NTA2020,470802,10,Crown Heights (North),"4,103",8.4
2017-21,NTA2020,470901,10,Crown Heights (South),"2,300",8.4
2017-21,NTA2020,470902,10,Prospect Lefferts Gardens-Wingate,"1,791",6.8
2017-21,NTA2020,471001,10,Bay Ridge,"2,721",6.0
2017-21,NTA2020,471002,10,Dyker Heights,"1,522",7.1
2017-21,NTA2020,471101,10,Bensonhurst,"3,604",7.1
2017-21,NTA2020,471102,10,Bath Beach,848,5.3
2017-21,NTA2020,471103,10,Gravesend (West),"2,376",8.1
2017-21,NTA2020,471201,10,Sunset Park (East)-Borough Park (West),"1,393",9.9
2017-21,NTA2020,471202,10,Borough Park,"2,029",7.5
2017-21,NTA2020,471203,10,Kensington,"1,228",6.3
2017-21,NTA2020,471204,10,Mapleton-Midwood (West),878,5.6
2017-21,NTA2020,471301,10,Gravesend (South),"1,307",10.2
2017-21,NTA2020,471302,10,Coney Island-Sea Gate,"1,554",8.1
2017-21,NTA2020,471303,10,Brighton Beach,502,3.6
